"Feature","Data_Type","Category","Sub_Category","TCGA-23-2077","TCGA-24-1423","TCGA-24-1474","TCGA-24-1550","TCGA-25-1314","TCGA-25-2396","TCGA-29-1695","TCGA-29-1696","TCGA-29-1699","TCGA-29-1784","TCGA-59-2352","TCGA-59-2363","TCGA-61-1907","TCGA-61-2111","TCGA-13-1511","TCGA-20-1687","TCGA-23-1029","TCGA-23-1111","TCGA-23-1122","TCGA-23-1123","TCGA-23-2081","TCGA-24-1416","TCGA-24-1424","TCGA-24-1552","TCGA-24-1603","TCGA-25-1323","TCGA-25-2400","TCGA-29-1701","TCGA-30-1891","TCGA-61-1725","TCGA-61-1740","TCGA-61-2008","TCGA-61-2092","TCGA-10-0928","TCGA-24-1430","TCGA-29-1697","TCGA-61-1741","TCGA-61-2009","TCGA-61-2012","TCGA-61-2102","TCGA-61-2104","TCGA-61-2109","TCGA-09-1670","TCGA-09-1673","TCGA-13-0897","TCGA-13-0913","TCGA-20-1683","TCGA-20-1685","TCGA-24-1846","TCGA-24-1850","TCGA-24-2024","TCGA-24-2290","TCGA-25-2404","TCGA-29-1688","TCGA-29-1781","TCGA-57-1993","TCGA-61-1733","TCGA-61-1736","TCGA-61-2016","TCGA-09-0364","TCGA-13-0890","TCGA-13-0899","TCGA-13-0920","TCGA-13-1403","TCGA-13-1489","TCGA-24-1469","TCGA-24-1551","TCGA-24-1844","TCGA-25-1315","TCGA-25-1319","TCGA-25-2391","TCGA-25-2393","TCGA-29-1693","TCGA-29-1761","TCGA-29-1763","TCGA-29-1778","TCGA-29-2427","TCGA-61-1914","TCGA-09-2044","TCGA-13-1481","TCGA-13-2060","TCGA-20-1682","TCGA-23-1027","TCGA-24-1413","TCGA-24-1564","TCGA-24-1842","TCGA-24-1847","TCGA-24-2035","TCGA-25-1316","TCGA-25-2392","TCGA-25-2397","TCGA-61-1728","TCGA-04-1348","TCGA-09-1674","TCGA-13-1405","TCGA-23-1114","TCGA-23-2084","TCGA-24-1419","TCGA-24-1428","TCGA-24-1562","TCGA-24-1616","TCGA-24-2267","TCGA-24-2288","TCGA-24-2298","TCGA-29-1702","TCGA-29-1703","TCGA-29-1785","TCGA-30-1855","TCGA-31-1953","TCGA-57-1994","TCGA-59-2355","TCGA-61-1900","TCGA-61-1910","TCGA-61-1919","TCGA-61-2088","TCGA-61-2110","TCGA-04-1362","TCGA-13-0800","TCGA-13-0916","TCGA-13-1498","TCGA-13-1506","TCGA-13-1512","TCGA-20-1684","TCGA-24-1418","TCGA-24-1436","TCGA-24-1467","TCGA-24-2261","TCGA-24-2262","TCGA-25-1329","TCGA-29-1691","TCGA-29-1762","TCGA-59-2350","TCGA-59-2351","TCGA-61-1998","TCGA-61-2000","TCGA-61-2094","TCGA-61-2113","TCGA-04-1357","TCGA-13-1505","TCGA-13-1507","TCGA-24-1103","TCGA-24-1417","TCGA-24-2254","TCGA-24-2281","TCGA-25-1312","TCGA-29-1705","TCGA-29-1770","TCGA-30-1862","TCGA-61-1995","TCGA-09-0369","TCGA-09-2051","TCGA-13-0893","TCGA-13-1497","TCGA-23-1809","TCGA-24-1427","TCGA-24-1843","TCGA-24-2019","TCGA-24-2033","TCGA-24-2271","TCGA-25-1313","TCGA-25-2399","TCGA-29-1694","TCGA-29-1710","TCGA-29-1711","TCGA-29-1776","TCGA-29-1783","TCGA-30-1718","TCGA-59-2348","TCGA-61-1738"
"ENSG00000005206.12","num","Doberstein","LncRNA Expression",0.1821196,0.6944837,0.4887232,0.3693977,0.9041255,0.1805469,0.4119217,0.03462491,0.3668302,0.2794475,0.2131355,0.4104928,0.1212691,0.5093577,0.5112169,0.07470553,0.48427,0.4476851,0.618435,1.043249,0.336299,0.2819073,0.2488379,0.2335304,0.2434959,0.4524238,0.4182025,0.07306927,0.001496105,0.09916991,0.5240627,0.6367473,0.532207,0.1873522,0.7196235,0.4391023,0.7328244,0.1848968,0.4695254,0.2733098,0.8378764,1.117134,0.2824675,0.8128527,0.1106199,0.2335378,0.9121937,0.6949289,0.7337371,0.5420691,0.3800309,0.8280673,0.4223246,0.8766153,0.1913031,0.5915359,0.08251742,1.273293,0.3554436,1.081408,0.0549876,0.1874121,0.1348791,0.5789079,0.05989278,0.6976419,0.1804898,0.3866198,0.3303253,0.1331293,0.3729623,0.2123517,0.2299632,0.04826832,0.8048338,0.5240191,0.2244379,0.109098,0.1414629,0.2744379,0.06368965,0.2146692,0.4490377,0.7921756,0.613566,0.9193499,0.4147317,0.1972469,0.2198029,1.174259,0.8483593,0.2252323,0.9341874,0.4620231,0.4815854,0.7414759,0.539518,0.3401045,1.402108,0.2058686,0.07959931,1.47647,1.182434,0.7009202,0.3962903,0.2722839,0.1050901,0.1235604,0.8011048,1.078538,0.2462109,0.2573575,2.845244,0.1295382,5.633424,0.4067795,0.7819641,0.178757,0.7119599,0.2674652,0.04757382,0.02653839,0.4589013,0.8012836,0.6450624,1.47774,1.132993,0.5967208,0.9359333,0.2915633,0.1859524,0.6229667,0.1028406,0.3747075,0.2261511,0.9241159,0.7797591,0.4342938,0.6728942,0.03827945,0.4005215,0.3317264,2.668095,0.7179843,0.849225,0.4373672,0.1665382,0.8190927,1.444401,0.9408337,0.8378156,0.4130756,0.7821472,0.9001216,0.7095773,0.1462473,1.098533,1.166728,0.9301884,0.2408648,0.4626162,0.3838695,0.5177011,0.4928466,0.1819088,0.3091919,0.2209151,0.3049127,0.08757003
"ENSG00000031544.10","num","Doberstein","LncRNA Expression",0,0.05414949,0.0454259,0.01458008,0.1478904,0.04606752,0,0.01678599,0.1488099,0,0.495027,1.461163,0.003928109,0.05961615,0.2660911,0,0.1521829,1.347111,0.06016918,0.05808934,0.5382125,0.1109041,0.08216357,0,0.05691969,0.05872194,0.1193999,0,0,0.1373106,0,0.05970127,0,0.1933318,0.01938783,0.002119211,0.04213352,0.006035285,0.004780756,0.03500998,0.1700983,0.6435519,0.06176094,0.1983936,0,0.1277836,0.0331402,0.2652144,2.557344,0,0.4449352,0.1321284,0,0.08092312,0,0.837556,0,0.5667261,0.1118307,0,0,0.07476757,0.01152413,0.2089905,0.0777743,0.04465889,0.2677518,0.06322355,0.01379819,0,0.02054219,0,0,0,0.1171829,0.176801,0.002640933,0,0.08582502,0,0.01839659,0.2743617,0.01950174,0.2645178,0.01491126,0.08339392,0.1543041,0,0,0.05362954,0.03752561,0.05181505,0.1929242,0.02869421,0.03672201,0,0.05248611,0.05699836,0.6789345,0.1517741,0.05179643,0.02665091,0.7439998,0.05784126,0.06707501,0,0,0,0,0.1367582,0.03844783,0.04119222,0.4715583,0.1509603,0.1530631,0.06153115,0.1784386,0.2169418,0.1166635,0.05406185,0.05881209,0,0.02088029,0,0.0594561,0,0.06341857,0,0.1428769,0.0282039,0,0,0.3755469,0,0.08088845,0.6910685,0.02308578,0.1303039,0.3633805,0,0.1774844,0.1090471,0.1114929,0.129642,0,0.04072289,0,0.02854265,0.07500932,0.06063053,0.3696484,0.01470548,0.01741875,0,0.02905836,0,0.0411948,0.1303267,0.1535134,0.1651449,0.8639008,0.109167,0,0,0.03790338,0.01307331,0,0.2696025,0
"ENSG00000083622.8","num","Doberstein","LncRNA Expression",0.05148486,0.230974,0.01526536,0,0.006998822,0,0.02186616,0,0.004360264,0,0,0.01503319,0,0.2333559,0,0,0,0.03637211,0.01544121,0.189845,0.02822847,0,0.01301249,0,0.01702357,0.3207092,0,0.04759259,0,0.1034646,0.03723608,0,0,0.08426792,0.05416364,0.6054208,0.0296369,0,0,0,0.1008462,0.05908981,0.2783627,0.02813526,0.0433328,0.005283122,0,0,0,5.854672,0.02469701,0.02326077,0.7070869,0,0.001927905,0.0115344,0,0,0.05424021,0.05441351,0.1265703,0.07295062,0,0.07747161,0.006225254,0.02302558,0.01750943,0,0.07641028,0.1428565,0.01637131,0,0,0,0.06812415,0.6319101,0,4.78144,0.06776411,0.02200821,0.03346614,2.057155,0,0.0220897,0.1290814,0,0,11.14413,0,0.02688665,0.02315063,0.05875496,0,0.01031478,0,0,0,0,0,0,0,0,0,0,0.102125,0.07401617,0,0,0,0,0.02526949,0,0,0.4431488,0.0342912,0.07955663,0.01337465,0.1849094,0.01601319,2.977048,0.0506969,0.2935751,0.006493051,0.01932888,0,0,0.01686145,0,0,0.04254213,0.01474996,0.05239544,0,0,0,0.0084006,0.1825741,0,0.0127024,0,0,0.04595334,0,0.102036,0.09096088,0,0.02963971,0,0,0.01451263,0.04925259,0,0,0.09755307,0.01457578,0.1574767,0,0.03382849,0,0.09105131,0.05391824,0,0.01503741,0,0,0.06200384,0.09001967,0,0
"ENSG00000088970.11","num","Doberstein","LncRNA Expression",0.1400742,0.172434,0.1170226,0.0965618,0.2265367,0.03448535,0.2958813,0.01704356,0.09809439,0.08123477,0.351907,0.1652505,0.0654529,0.1573514,0.2020375,0.02871072,0.2494032,0.1265331,0.1061556,0.1750796,0.12542,0.03344726,0.1061728,0.09097259,0.03369242,0.5039026,0.1008743,0.0888589,0.007499748,0.02897669,0.09973288,0.08113339,0.06422893,0.1046985,0.1380756,0.1315004,0.06404295,0.06386406,0.0629893,0.2237604,0.1401805,0.2361582,0.1776565,0.241262,0.0262116,0.06872144,0.1688484,0.1294273,0.22018,0.1654297,0.1673787,0.111318,0.05203423,0.1239273,0.0441072,0.3108737,0.05664653,0.126129,0.1275128,0.1299578,0,0.06371263,0.08418509,0.1403284,0.01613755,0.2007319,0.03456968,0.1559159,0.03084301,0.2097241,0.06319168,0.03638051,0.1273084,0.04992951,0.07473461,0.1940143,0.03225712,0.08289321,0.03253442,0.04644604,0.008097342,0.003443319,0.07457712,0.203694,0.1739892,0.09484795,0.07964985,0.08657406,0.03356341,0.1127085,0.147321,0.01500169,0.05352882,0.09685011,0.06109648,0.3464951,0.1003568,0.07762257,0.1871916,0.09425265,0.1908145,0.2132378,0.4026111,0.2785784,0.1245987,0.1735274,0.05755459,0.06402013,0.03748907,0.2164115,0.1259034,0.465288,0.3649467,0.04801976,0.1002827,0.2061209,0.1033748,0.1140372,0.1451614,0.04480589,0.05216759,0.02328076,0.05522185,0.05046986,0.2840303,0.279017,0.3363275,0.3206703,0.1155731,0.05401271,0.04906417,0.134949,0.08023615,0.07768746,0.1168557,0.272835,0.2046939,0.04291754,0.3032446,0.01099086,0.08893723,0.1776362,0.661737,0.1034112,0.3243005,0.1289558,0.04538812,0.1957904,0.1706013,0.03310619,0.06970154,0.06604962,0.07362088,0.2258242,0.1341609,0.0687538,0.1299021,0.54942,0.07800846,0.1397622,0.2975111,0.1721321,0.2075907,0.05823318,0.04732508,0.06860374,0.05036815,0.06015678,0.06356832
"ENSG00000099869.6","num","Doberstein","LncRNA Expression",0.2895453,1.045093,0,9.518421,11.90449,0,0.01177101,0,0.009121117,0.4484492,0,18.96122,0,1.649084,0.2038718,0.4272533,0.03912981,1.712333,3.154198,0.09478086,0.2917052,0,0.4427303,0,0,0.7238361,0,0.1612937,4.605781,0,0,6.966535,0.02202269,0.2327927,4.360623,0.05143392,0.2630739,4.417022,1.380449,36.58471,3.789986,0.0788585,0,0.1817496,0.2061733,6.06861,1.124736,0.03270084,0,0.01787198,0.2196283,1.471411,0.2255522,2.645248,0.9844532,2.556332,7.99709,0,1.904459,16.5804,5.678707,3.135864,2.471213,1.310775,0.9589357,0,0.007049518,0.6664165,0,0,0,0.3080402,0.2175213,0.2266953,0,0,0.0191491,0,0.183427,3.006249,0,0,0.0658318,0,1.56432,0,0,10.51188,0,0.2459728,0.1888883,1.203091,0.03283462,20.72901,0.1240114,2.484475,0,0,0,0.4377938,0.252375,0,4.639853,0.03365558,0.3557582,0,0,1.979346,0,0.5532939,0.2374133,0.07697937,0,1.229404,3.332869,0.02304521,1.410302,0.02140879,0,0,0,10.92479,0,8.343043,0.2458281,0,0.07369242,0,2.140005,0,0.2058752,0,0,7.910524,0.3929315,0,7.258952,0.1771534,0,0.0406053,0,0.01964629,0.1812825,0.3213329,4.653154,0.2886415,0.1111448,0.1918246,0.4419682,47.15016,0.1864056,0,0.948162,0.01987901,0.07074935,0,0.02727089,0.1133074,0,0,0.03811627,0.1759017,0.05858717,0.06481786,0,3.580694,0.05980106,0,0
"ENSG00000100181.17","num","Doberstein","LncRNA Expression",0.4367024,1.141945,1.391096,0.1581974,0.06441117,0.04865616,0.1037833,0.004371778,0.02554152,0.02340778,0.07845621,0.04460738,0.01946009,0.2224696,0.04234144,0.03012314,0.03923151,0.03321785,0.537344,0.01562483,0.0207692,0.01963582,0.09857699,0.02422605,0.03695146,0.1777389,0.02295172,0.0552414,0.01542144,0.05456548,0.01696721,0.09769341,0.01158049,0.3393862,2.16218,0.01653795,0.01809806,2.140944,2.231165,0.2180154,0.02209806,0.08504043,0.04471646,0.01754341,0.0110353,0.006007944,0.034733,0.0869863,0.05851556,0.934438,0.2787693,0.01389181,0.05163191,0.0360996,0.0105738,0.01737673,1.268172,0.03954525,0.05412769,0.0849056,0.0915191,0.02147705,1.573785,0.05390897,0.1471327,0.1450434,0.01962647,0.02708301,0.02197766,0.03709897,0.1195509,4.679382,0.02045002,0.1167558,0.07389916,0.03706086,0.01405525,0.02539027,0.005550992,0.6050388,0.07661208,0.09179219,0.02992604,0.03836082,1.412455,0.0360491,1.461001,0.2002557,0.9010888,0.04223449,0.02013769,0.04801416,0.04137978,0.04231752,0.1157839,0.3066058,0.06831823,0.0126405,0.03572187,0.06813195,0.04209042,0.07497315,0.06733622,0.06801096,0.01027381,0.01807459,0.01281472,0.1019018,0.05371651,0.06012264,0.06901262,0.01902437,0.2085754,0.0196672,0.01279993,0.05674786,4.122338,0.4738897,0.01774242,0.03904355,0.03019683,0.01195571,0.01404995,0.07561832,0.04333518,0.02255277,0.03101745,0.1325808,0.5371106,0.02248888,0.2028286,0.003902072,0.03901979,0.1109266,0.485759,0.039492,0.0409387,0.08089388,0.04922386,0.03728656,0.07576094,0.0673689,0.05566466,0.05017446,0.1001773,0.05342483,1.160412,0.1029143,0.0188528,0.05459307,0.03450235,0.02796618,0.0343413,0.01175972,0.1650302,0.06845767,0.08060361,0.05445637,0.06224613,0.6332205,0.05316762,0.04395983,0.0444992,0.01368559,0.04700471,0.05435053,0.0530823,0.04321851,0.2600671
"ENSG00000104691.10","num","Doberstein","LncRNA Expression",0.4387461,0.1132866,0.02464767,0.1232697,0.09917505,0.04947663,0.0290064,0.1053276,0.06399191,0.04750574,0.7346812,0.441094,0.00946206,0.05679519,0.1255371,0.01511277,1.458567,0.3304452,0.09546159,0.1435177,0.09308674,0.2133694,0.2982935,0.03693252,0.08594911,0.6541039,0.2847042,0.03362919,0.02892599,0.07269418,0.06346729,0.6023476,0.09699365,0.06552675,0.1705695,0.09892511,0.05794633,0.2237164,0.1053707,0.09150227,0.04534047,0.1260127,0.05572809,0.4012183,0.0109697,0.07599423,0.1746882,0.2601946,0.07805539,0.0647698,0.1737146,0.04686002,0.1730756,0.06135446,0.03697552,0.6292082,0.03980482,0.681601,0.2773641,0.7353953,0.008111161,0.01889059,0.168959,0.02815541,0.05256657,0.1220048,0.05342519,0.419742,0.2086842,0.2327182,0.1133402,0.0435728,0.1048387,0.02212799,0.4447644,0.1702409,0.03264455,0.1847906,0.02677896,0.06009128,0.09568768,0.07042651,0.01926508,0.221783,0.04670039,0.02863578,0.3935333,0.0932627,0.2141773,0.03893165,0.05907539,0.103844,0.07347427,0.1516127,0.08808381,0.5414257,0.3248825,0.3539395,0.04282708,0.04991991,0.1518246,0.1526071,0.03837891,0.06962721,0.04200101,0.1381981,0.08900096,0.05492426,0.1904079,0.3262307,0.4308836,0.7236524,0.193185,0.04651297,0.2054852,0.1044415,0.106592,0.1976735,0.0406397,0.1186619,0.1050295,0.0491884,0.06869117,0.212162,0.02754616,0.4864111,0.04749883,0.2009876,0.1928347,0.04576861,0.2675584,0.04984326,0.7001681,0.2966529,0.0881996,0.15389,0.2536889,0.1270289,0.03286627,0.1174925,0.1956118,0.1044859,1.55816,0.06416048,0.09980117,0.0502592,0.07416727,0.09499982,0.1377583,0.1031151,0.1869527,0.04794047,0.1287903,1.145106,0.04329784,0.1018841,0.8315534,0.1557654,0.0220111,0.1774939,0.06602116,0.2684985,0.03262903,0.04656582,0.03052369,0.1458156,0.03407916,0.01931702,0.09257743
"ENSG00000110347.7","num","Doberstein","LncRNA Expression",0,0,0,0,0,0,0,0,0,0,0,0.09580476,0,0,0,0,0,0,0,0.125341,0,0,0,0,0.06598825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08167562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09565357,0.06103468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09747148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115934.11","num","Doberstein","LncRNA Expression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000188625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01732565,0,0,0,0,0,0.00287442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01893208,0.03211519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004850825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01313122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000117242.7","num","Doberstein","LncRNA Expression",0.08609814,0.1334846,0.1928167,0.1672203,0.1450204,0.01217926,0.04602371,0.03769218,0.03442909,0.1535566,0.07270805,0.1961716,0.02277793,0.2151788,0.1324237,0.06536511,0.2470418,0.2458964,0.3342152,0.1475877,0.1667389,0.02736594,0.2487278,0.1231625,0.07612931,0.3124007,0.1947244,0.05633944,0.08782375,0,0.05523062,0.1293364,0.09060508,0.07763964,0.3013926,0.1767477,0.4778269,0.02913703,0.2136672,0.1917155,0.3759971,0.1857063,0.03689062,0.3221506,0.0357431,0.05942383,0.2468311,0.09769523,0.3109351,0.182791,0.1248863,0.05700288,0.2011395,0,0.1176773,0.2668676,0.06659355,0.1673092,0.2264552,0.1056372,0.01999676,0.03111616,0.140601,0.2481154,0.03085923,0.382744,0.09996659,0.3562141,0.1955727,0.07794557,0.06111586,0.07937566,0.02804347,0.04750165,0.5050886,0.3024139,0.01588419,0.1388373,0,0.07527647,0.05520915,0.1152516,0.09277762,0.03644141,0.1836529,0.003491336,0.1495245,0.06967212,0.09954603,0.1239446,0.5620959,0.1351431,0.1069915,0.07415329,0.1254987,0.339844,0.05892759,0.06555336,0.1265576,0.08664697,0.04582806,0.2372185,0.4028744,0.1748744,0.05852809,0.2344659,0.06622048,0.1144648,0.08837105,0.5209883,0,0.1365895,0.2543713,0.09833986,0.4746219,0.2333917,0.233439,0.3469846,0.03892339,0.1661891,0.2401606,0.03105635,0.03580173,0.1305662,0.1350904,0.1959721,0.3305495,0.2984124,0.2260118,0.04836786,0.01936177,0.07138757,0.01741267,0.05116553,0.3033188,0.2683736,0.1016374,0.07636314,0.1449414,0.05165919,0.03368835,0.1023851,0.3343366,0.471226,0.2273166,0.137179,0.03840533,0.391964,0.2504823,0.2011044,0.1417494,0.09564019,0.03905161,0.08377755,0.1186254,0.04419887,0.2652603,0.144135,0.1401039,0.1984213,0.448585,0.1253171,0.2985138,0.1701997,0.04208752,0.1992212,0.03728551,0.1190787,0.002424216
"ENSG00000118412.8","num","Doberstein","LncRNA Expression",0.0383766,0.1675905,0.2953783,0.06990084,0.06691238,0.06032612,0.1111356,0.006923311,0.04475107,0.03283605,0.07291849,0.1299118,0.06731648,0.05341624,0.06655477,0.01920536,0.07986124,0.1190107,0.1117275,0.1575379,0.09536982,0.02829396,0.1022381,0.01656543,0.1145484,0.08499469,0.03907065,0.1038649,0.01923099,0.01366484,0.07280142,0.01809076,0.01514455,0.01297739,0.09253009,0.05899902,0.3180136,0.02922137,0.03327416,0.02621364,0.06155778,0.1594735,0.06719612,0.1571862,0,0.008292555,0.09277803,0.0998185,0.1394662,0.04990565,0.09407024,0.07910682,0.04581166,0.0485052,0.06556551,0.1244055,0.04281173,0.08193368,0.07331581,0.1214411,0.0329846,0.01345096,0.1263262,0.1076002,0.03751805,0.1587415,0.1258793,0.08018457,0.0170228,0.02805664,0.08467696,0,0.08516755,0.05954892,0.07506916,0.04862591,0.07352382,0.02826234,0.01725661,0.06978979,0.03229855,0.01421269,0.01927201,0.03938942,0.08506205,0.05427233,0.04986473,0.01110217,0.04303196,0.07947264,0.06645808,0.01923381,0.06262221,0.1478429,0.03276549,0.1189989,0.03736388,0.07316177,0.1352779,0.00724148,0.03441946,0.1429497,0.1841949,0.06891844,0.07216904,0.037177,0,0.05918656,0.1168943,0.1730953,0.04524032,0.0626862,0.0907921,0.069918,0.4177168,0.03303369,0.08664357,0.05929179,0.1397339,0.0654119,0.04280611,0.04699622,0.03100314,0.1509933,0.1245739,0.07152426,0.2039017,0.1339335,0.07294562,0.2796472,0.04530823,0.02386473,0.08028996,0.04521024,0.0983799,0.1479801,0.1480563,0.05303612,0.1362626,0.02839885,0.0900956,0.04165437,0.4062379,0.05892642,0.1095488,0.06788219,0.02265364,0.07913864,0.1283982,0.05222473,0.07300321,0.07798131,0.01847389,0.2472838,0.02215462,0.03547997,0.1084651,0.1093616,0.1213585,0.06067323,0.03111043,0.02466613,0.04550101,0.02654624,0.02813956,0.04852827,0.0287011,0.0436824,0.03867869
"ENSG00000122043.6","num","Doberstein","LncRNA Expression",0,0,0,0,0,0,0.02477375,0.006370184,0,0.007553166,0,0,0,0,0,0.01405824,0,0,0,0,0.004711009,0,0,0,0,0,0,0,0,0.006286553,0.01476899,0.008322713,0,0,0,0,0,0,0,0,0,0.005547046,0.00130929,0,0,0.01512442,0,0.002702344,0,0,0.006182474,0,0,0.003473736,0,0,0,0.02753754,0,0,0,0,0,0,0,0.01223503,0.009696138,0,0,0,0,0,0,0,0.005793367,0.007473443,0.01127496,0.00866812,0,0,0.008490888,0,0,0,0.01486881,0,0.004176049,0,0.01235332,0,0,0,0.01028651,0,0,0,0.005975449,0,0,0.003331466,0,0,0.01093413,0,0.005902507,0,0,0.005740472,0.02162324,0.004615516,0,0,0,0,0,0,0,0,0.002004315,0,0,0,0,0,0,0.01154279,0.005553916,0,0.005809383,0,0,0,0,0,0,0.02333269,0,0.005790801,0,0.01335924,0,0.008485353,0,0,0.009281454,0,0.007322164,0,0,0.009494208,0,0,0,0,0.0195089,0,0.006517656,0,0.00220261,0,0,0.006754604,0.0161257,0,0.008400319,0.00637874,0,0,0
"ENSG00000124835.2","num","Doberstein","LncRNA Expression",0,0,0.005145473,0,0.003538624,0.005548634,0,0,0.002345278,0,0,0,0.005820856,0,0.00696496,0,0.002779602,0,0.003788265,0.009382319,0.003171643,0,0.008890746,0,0,0,0,0,0,0,0,0.005341707,0.003127114,0.01221911,0.02407358,0,0.002023769,0,0,0.01403634,0,0.01107012,0,0.00613158,0.000444105,0.004246462,0,0.003638656,0.01940241,0,0.008324586,0,0.00249515,0,0,0.006942648,0,0.005980449,0.005916408,0.007164486,0,0,0,0.003022367,0.01138189,0.005491414,0.002772094,0,0.008243005,0,0.004498577,0,0.004608967,0,0.01134392,0.00590354,0.008248626,0,0,0,0.005716411,0.006629592,0,0,0,0.004305094,0.000674757,0,0.006361966,0.01139304,0.009854229,0,0.008896912,0.003950896,0.003408843,0.004958355,0.004022916,0,0.005174902,0,0,0.00738332,0.04220478,0.004478155,0,0,0,0,0.005150109,0.007291922,0.002091363,0.006151794,0.01256113,0.001412842,0.08880771,0.00584652,0.004569095,0.0275575,0.001115493,0.004744685,0.008838793,0,0.002051816,0.004560612,0,0.004209333,0.007353607,0,0.003911113,0.005404378,0,0,0.0102373,0.01507636,0,0.003370927,0.005587772,0,0.02621376,0,0,0.005751025,0,0,0.00233283,0.002069175,0.004929579,0.01339418,0.01092677,0.001206632,0,0,0.003547549,0,0,0.008607642,0.00174125,0.007186463,0.009670999,0,0.005143626,0.001606774,0,0,0.00581038,0.000744367,0,0,0
"ENSG00000124915.6","num","Doberstein","LncRNA Expression",0.004222396,0.001026679,0.002562399,0.001038831,0.01137209,0.01134574,0,0,0,0,0,0.01715076,0.01124509,0.009415975,0.003919547,0,0.003065052,0.000807582,0.001574836,0.004168709,0.002758772,0.004364091,0.000590335,0.01556366,0.01260847,0.008965581,0.00603636,0,0,0,0.003544566,0.00792456,0.1336349,0.0213509,0,0.05174233,0.01899845,0.006009513,0.004835713,0.01761199,0.006836211,0.03475954,0.009917309,0.00769475,0.005995905,0.01109649,0.02495979,0.00806952,0,0,2.76e-05,0.006507478,0.004042471,0,0.006867779,0.0112941,0.00191182,0.000794189,0.01180942,0.01855282,0.004070065,0.006602125,0,0.04960848,0,0.01549649,0.003562524,0.006502288,0.009634998,0.005975594,0.002957132,0.006677739,0,0,0.01190019,0,0,0.006432261,0,0.01455229,0,0.01304744,0.009289792,0.01362909,0.01997939,0.01842771,0.01851859,0.008717724,0,0.001450644,0.07263827,0.001977762,0.004639225,0.01899304,0,0.02544939,0,0.01692306,0.02255578,0,0,0.02995389,0.01510335,0.000862298,0.01355561,0,0.002298008,0.02984406,0,0.03664324,0.001060416,0.002885237,0.002098563,0.007278444,0.07133631,0.008734545,0.01073974,0,0.01438938,0.002331307,0.01320492,0.006405373,0.009454926,0.006123977,0.003219548,0.004729911,0.02001083,0,0.01750333,0.01743983,0,0.0389098,0.003013442,0,0.001457697,0,0.02411639,0,0.003045984,0,0.008754759,0.01088304,0.01374186,0.01195692,0.02663678,0.01152685,0.004909773,0.02481307,0.02461299,0.01042629,0,0.005693216,0.008548296,0.1745995,0.003979882,0.002400456,0,0.04709693,0.009632142,0.008921906,0.01024592,0.013648,0.009755449,0.001583215,0,0.004676375,0,0.009791244,0
"ENSG00000125514.5","num","Doberstein","LncRNA Expression",0,0,0,0,0.004145805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143547,0.000395304,0.004004887,0,0,0,0,0,0,0.007423808,0,0,0.006983639,0,0.01001942,0.004233448,0,0.007889089,0,0.004281647,0,0,0,0,0,0,0.004268272,0.006791667,0.002267553,0,0,0,0,0,0,0,0,0.002518364,0,0.002266606,0,0.003599241,0,0,0,0.005032475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044043,0,0,0,0,0,0,0,0.002277772,0,0,0,0,0,0.001674253,0,0.003089969,0,0.005652347,0,0,0,0,0,0,0,0,0,0,0,0,0.005971505,0,0,0,0,0.01093038,0,0,0,0,0.01417443,0,0,0,0,0,0,0,0,0,0.004830708,0,0,0.008551808,0,0.002772935,0,0.00671538,0.012252,0.00740737,0,0,0,0,0,0,0.01011724,0.00417352,0.002929621,0,0,0,0,0.006285765,0,0,0.00434048,0,0,0,0,0,0,0,0,0,0,0,0
